annoaccademico,immatricolabile,corso_codice,corso_descrizione,url,campus,sededidattica,ambiti,tipologia,durata,internazionale,internazionale_titolo,internazionale_lingua,lingue,accesso
2019/2020,True,9212,Biologia della salute,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/9212,Bologna,Bologna,Farmacia e biotecnologie,Laurea Magistrale,2,False,,,Italiano,libero accesso con verifica dell'adeguatezza della preparazione
2019/2020,True,9213,Biotecnologie molecolari e industriali,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/9213,Bologna,Bologna,Farmacia e biotecnologie,Laurea Magistrale,2,False,,,Italiano,libero accesso con verifica dell'adeguatezza della preparazione
2019/2020,True,9214,Management delle attività motorie e sportive,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/9214,Bologna,Bologna,Scienze motorie,Laurea Magistrale,2,False,,,Italiano,libero accesso con verifica dell'adeguatezza della preparazione
2019/2020,True,9215,Scienze e tecniche dell'attività motoria preventiva e adattata,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/9215,Rimini,Rimini,Scienze motorie,Laurea Magistrale,2,False,,,Italiano,numero chiuso
2019/2020,True,9216,Filosofia,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/9216,Bologna,Bologna,Studi umanistici,Laurea,3,True,Titolo multiplo,,Italiano,libero accesso con verifica delle conoscenze
2019/2020,True,9217,Ingegneria dell'automazione,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/9217,Bologna,Bologna,Ingegneria e architettura,Laurea,3,True,Titolo multiplo (solo alcuni curricula),,Italiano,numero chiuso
2019/2020,True,9218,"Beni archeologici, artistici e del paesaggio: storia, tutela e valorizzazione",http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/9218,Ravenna,Ravenna,Studi umanistici,Laurea Magistrale,2,False,,,Italiano,libero accesso con verifica dell'adeguatezza della preparazione
2019/2020,True,9219,Farmacia,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/9219,Bologna,Bologna,Farmacia e biotecnologie,Laurea Magistrale a ciclo unico,5,False,,,Italiano,numero chiuso
2019/2020,True,9220,"Italianistica, culture letterarie europee, scienze linguistiche",http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/9220,Bologna,Bologna,Studi umanistici,Laurea Magistrale,2,True,Titolo multiplo (solo alcuni curricula),Erogato in lingua straniera (solo alcuni curricula),Italiano Inglese,libero accesso con verifica dell'adeguatezza della preparazione
2019/2020,True,9221,Economia e diritto,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/9221,Bologna,Bologna,Economia e management,Laurea Magistrale,2,True,,Erogato in lingua straniera (solo alcuni curricula),Italiano Inglese,numero chiuso
2019/2020,True,9222,Statistical sciences,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/9222,Bologna,Bologna,Scienze Statistiche,Laurea Magistrale,2,True,,Erogato in lingua straniera,Inglese,libero accesso con verifica dell'adeguatezza della preparazione
2019/2020,False,9223,Farmacia,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/9223,Rimini,Rimini,Farmacia e biotecnologie,Laurea Magistrale a ciclo unico,5,False,,,Italiano,numero chiuso
2019/2020,True,9224,Digital humanities and digital knowledge,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/9224,Bologna,Bologna,Studi umanistici,Laurea Magistrale,2,True,,Erogato in lingua straniera,Inglese,libero accesso con verifica dell'adeguatezza della preparazione
